dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,Permit REJECTED by MISSING_original,Permit REJECTED by MISSING_encoded,Permit REJECTED by MISSING_change,4_original,4_encoded,4_change,7_original,7_encoded,7_change,Declaration FINAL_APPROVED by SUPERVISOR_original,Declaration FINAL_APPROVED by SUPERVISOR_encoded,Declaration FINAL_APPROVED by SUPERVISOR_change,Declaration SAVED by EMPLOYEE_original,Declaration SAVED by EMPLOYEE_encoded,Declaration SAVED by EMPLOYEE_change,Declaration REJECTED by EMPLOYEE_original,Declaration REJECTED by EMPLOYEE_encoded,Declaration REJECTED by EMPLOYEE_change,6_original,6_encoded,6_change,2_original,2_encoded,2_change,0_original,0_encoded,0_change,9_original,9_encoded,9_change,1_original,1_encoded,1_change,Payment Handled_original,Payment Handled_encoded,Payment Handled_change,End trip_original,End trip_encoded,End trip_change,Request Payment_original,Request Payment_encoded,Request Payment_change,8_original,8_encoded,8_change,Declaration REJECTED by MISSING_original,Declaration REJECTED by MISSING_encoded,Declaration REJECTED by MISSING_change,Send Reminder_original,Send Reminder_encoded,Send Reminder_change,5_original,5_encoded,5_change
InternationalDeclarations,27,max,complex,all_in_one,False,56988,9.0,0.9513913054435368,0.9507030514227215,0.9627295884166779,0.9601823300710551,0.1550688117852297,0,-0.1550688117852297,0,0.4843124868393346,0.4843124868393346,0.0,0.11756861093563557,0.11756861093563557,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,89.28195409559908,89.28195409559908,0.0,0.1649470063873096,0.1649470063873096,0.0,0.01052853232259423,0.01052853232259423,0.0,0.02632133080648558,0.02632133080648558,0,1.6301677546150066,1.6301677546150066,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.02456657541938654,0.02456657541938654,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,8.259633607075175,8.259633607075175
InternationalDeclarations,3,min,simple,all_in_one,True,78,0.5,0.8018099547511313,0.8274509803921568,0.8,0.8,0.1550688117852297,0,-0.1550688117852297,0,5.128205128205128,5.128205128205128,,,,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,58.97435897435898,58.97435897435898,,,,,,,,,,0,1.282051282051282,1.282051282051282,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,,,,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,34.61538461538461,34.61538461538461
InternationalDeclarations,3,min,frequency,all_in_one,True,61,0.3333333333333333,0.6742081447963801,0.6038461538461539,0.7692307692307693,0.6923076923076923,0.1550688117852297,0,-0.1550688117852297,0,4.918032786885246,4.918032786885246,,,,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,50.81967213114754,50.81967213114754,,,,,,,,,,0,1.639344262295082,1.639344262295082,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,,,,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,42.62295081967213,42.62295081967213
InternationalDeclarations,3,min,complex,all_in_one,True,78,0.5,0.8018099547511313,0.8274509803921568,0.8,0.8,0.1550688117852297,0,-0.1550688117852297,0,5.128205128205128,5.128205128205128,,,,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,58.97435897435898,58.97435897435898,,,,,,,,,,0,1.282051282051282,1.282051282051282,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,,,,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,34.61538461538461,34.61538461538461
InternationalDeclarations,11,avg,simple,all_in_one,True,2552,3.5,0.7594665340108256,0.6656181660987642,0.7641509433962265,0.6037735849056604,0.1550688117852297,0,-0.1550688117852297,0,1.0579937304075235,1.0579937304075235,0.0,0.54858934169279,0.54858934169279,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,80.52507836990596,80.52507836990596,0.0,0.07836990595611285,0.07836990595611285,,,,,,,0,1.9592476489028214,1.9592476489028214,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.1567398119122257,0.1567398119122257,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,15.673981191222571,15.673981191222571
InternationalDeclarations,11,avg,frequency,all_in_one,True,1191,1.6666666666666667,0.0,0.0,0.0,0.0,0.1550688117852297,0,-0.1550688117852297,0,0.9235936188077246,0.9235936188077246,0.0,0.33585222502099077,0.33585222502099077,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,69.68933669185559,69.68933669185559,0.0,0.08396305625524769,0.08396305625524769,,,,,,,0,1.9311502938706968,1.9311502938706968,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.2518891687657431,0.2518891687657431,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,26.78421494542401,26.78421494542401
InternationalDeclarations,11,avg,complex,all_in_one,True,2552,3.5,0.7769150137074665,0.6656181660987642,0.7924528301886793,0.6037735849056604,0.1550688117852297,0,-0.1550688117852297,0,1.0579937304075235,1.0579937304075235,0.0,0.54858934169279,0.54858934169279,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,80.52507836990596,80.52507836990596,0.0,0.07836990595611285,0.07836990595611285,,,,,,,0,1.9592476489028214,1.9592476489028214,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.1567398119122257,0.1567398119122257,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,15.673981191222571,15.673981191222571
InternationalDeclarations,27,max,simple,all_in_one,True,4358,11.5,0.8397959183673469,0.8139445807648572,0.8469387755102041,0.8061224489795918,0.1550688117852297,0,-0.1550688117852297,0,0.6883891693437356,0.6883891693437356,0.0,0.32124827902707664,0.32124827902707664,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,86.41578705828363,86.41578705828363,0.0,0.04589261128958238,0.04589261128958238,,,,0.0,0.04589261128958238,0.04589261128958238,0,1.5374024782010096,1.5374024782010096,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.09178522257916476,0.09178522257916476,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,10.853602569986233,10.853602569986233
InternationalDeclarations,27,max,frequency,all_in_one,True,2305,7.0,0.07272727272727272,0.0,0.1,0.0,0.1550688117852297,0,-0.1550688117852297,0,0.6073752711496746,0.6073752711496746,0.0,0.1735357917570499,0.1735357917570499,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,81.56182212581345,81.56182212581345,0.0,0.04338394793926247,0.04338394793926247,,,,0.0,0.04338394793926247,0.04338394793926247,0,1.3015184381778742,1.3015184381778742,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.1301518438177874,0.1301518438177874,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,16.138828633405637,16.138828633405637
InternationalDeclarations,27,max,complex,all_in_one,True,4358,11.5,0.8333898602420912,0.8007290546052436,0.8418367346938775,0.7908163265306123,0.1550688117852297,0,-0.1550688117852297,0,0.6883891693437356,0.6883891693437356,0.0,0.32124827902707664,0.32124827902707664,0.01938360147315371,0,-0.01938360147315371,0.8141112618724559,0,-0.8141112618724559,1.9965109517348323,0,-1.9965109517348323,0,86.41578705828363,86.41578705828363,0.0,0.04589261128958238,0.04589261128958238,,,,0.0,0.04589261128958238,0.04589261128958238,0,1.5374024782010096,1.5374024782010096,85.84997092459778,0,-85.84997092459778,10.893584027912386,0,-10.893584027912386,0.03876720294630742,0,-0.03876720294630742,0.0,0.09178522257916476,0.09178522257916476,0.21321961620469082,0,-0.21321961620469082,0.01938360147315371,0,-0.01938360147315371,0,10.853602569986233,10.853602569986233
